id,Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Total_Expenses,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Rent,Potential_Savings_Loan_Repayment,Potential_Savings_Insurance,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
1,116200,32,2,Business Owner,Tier_1,26180,0,2180,13540,3670,4730,4180,5630,2830,8220,6090,77250,8.2,9530,38950,790,0,70,410,370,1660,1250,170,80,250,1520
2,62700,19,1,Freelancer,Tier_2,11320,0,870,8650,4150,4800,2460,2810,3970,430,2640,42100,30.4,19060,20600,340,0,30,260,420,1680,740,80,120,10,660
3,77300,20,0,Self-Employed,Tier_3,10390,3960,1090,6360,5270,4220,1920,2190,1800,1300,3550,42050,24.4,18860,35250,310,120,30,190,530,1480,580,70,50,40,890
4,94700,36,2,Salaried,Tier_2,20860,0,4140,13410,4140,2110,2140,3370,2260,1610,5210,59250,16.5,15630,35450,630,0,120,400,410,740,640,100,70,50,1300
5,121600,43,0,Business Owner,Tier_1,23390,0,5580,11180,5250,13110,3690,2870,1500,240,5480,72290,29.4,35750,49310,700,0,170,340,520,4590,1110,90,40,10,1370
6,189300,41,0,Salaried,Tier_1,64180,35850,1980,22270,13420,10900,3910,8640,2950,1480,7220,172800,33.8,63980,16500,1930,1080,60,670,1340,3810,1170,260,90,40,1800
7,8100,20,0,Student,Tier_1,2190,0,130,980,510,600,250,160,210,0,460,5490,31.7,2570,2610,70,0,0,30,50,210,80,0,10,0,120
8,81000,53,2,Freelancer,Tier_1,23930,13650,1230,9210,5100,3120,3640,3470,1930,5240,3980,74500,13.4,10850,6500,720,410,40,280,510,1090,1090,100,60,160,1000
9,30200,32,0,Salaried,Tier_3,4280,1490,710,3230,1320,1070,390,1370,650,490,1640,16640,9.9,2990,13560,130,40,20,100,130,370,120,40,20,10,410
10,106300,35,2,Salaried,Tier_2,28210,4450,1480,11650,5890,5600,4160,5790,7300,190,3840,78560,17.2,18280,27740,850,130,40,350,590,1960,1250,170,220,10,960
11,8500,21,0,Student,Tier_1,2800,0,380,880,280,760,370,500,480,130,230,6810,21.1,1790,1690,80,0,10,30,30,270,110,20,10,0,60
12,107000,37,2,Salaried,Tier_1,32130,0,2880,16950,9600,6300,4140,3250,3080,12440,4620,95390,22.6,24180,11610,960,0,90,510,960,2200,1240,100,90,370,1160
13,161500,23,0,Business Owner,Tier_1,24970,0,5460,18410,7120,5500,7370,4820,6420,1800,5940,87810,23.8,38440,73690,750,0,160,550,710,1920,2210,140,190,50,1480
14,105400,29,2,Self-Employed,Tier_3,25390,6960,2390,14690,3620,6590,5260,7320,1670,2700,3230,79820,33.2,34990,25580,760,210,70,440,360,2310,1580,220,50,80,810
15,4500,21,0,Student,Tier_3,1340,0,50,560,220,300,210,110,70,10,190,3060,15.4,690,1440,40,0,0,20,20,100,60,0,0,0,50
16,67400,38,3,Self-Employed,Tier_2,9210,0,1420,5040,5140,5220,1380,4150,3140,520,1370,36590,10.0,6740,30810,280,0,40,150,510,1830,410,120,90,20,340
17,6000,18,0,Student,Tier_3,1050,1190,250,770,500,210,120,140,290,100,220,4840,24.8,1490,1160,30,40,10,20,50,70,40,0,10,0,60
18,4500,31,3,Salaried,Tier_3,560,0,100,750,350,360,190,170,280,10,250,3020,31.2,1400,1480,20,0,0,20,40,130,60,10,10,0,60
19,55800,25,1,Salaried,Tier_3,8640,4030,2490,8280,2610,3620,1450,3570,2220,940,1370,39220,34.2,19080,16580,260,120,70,250,260,1270,440,110,70,30,340
20,62400,27,1,Salaried,Tier_3,15670,4310,2140,6800,3310,3770,1260,3260,680,1040,2590,44830,27.4,17100,17570,470,130,60,200,330,1320,380,100,20,30,650
21,62800,31,1,Business Owner,Tier_2,15670,4150,1400,6290,3400,3070,950,2500,3870,770,3520,45590,24.6,15450,17210,470,120,40,190,340,1070,280,80,120,20,880
22,68100,26,2,Salaried,Tier_2,15280,9810,1950,7530,2920,3620,3140,4100,1460,100,2770,52680,25.1,17090,15420,460,290,60,230,290,1270,940,120,40,0,690
23,53500,34,0,Salaried,Tier_3,8780,5590,2350,3520,2940,3430,950,2560,1860,230,2470,34680,8.1,4330,18820,260,170,70,110,290,1200,280,80,60,10,620
24,105500,40,2,Business Owner,Tier_3,22500,1170,2110,15650,6050,9630,3870,7280,4870,1800,5870,80800,24.5,25850,24700,680,40,60,470,600,3370,1160,220,150,50,1470
25,187200,40,0,Business Owner,Tier_2,31200,10180,6650,22700,11470,14350,3930,4320,4550,920,6140,116410,22.6,42310,70790,940,310,200,680,1150,5020,1180,130,140,30,1540
26,28300,24,0,Salaried,Tier_1,6290,3380,750,2170,1560,2360,940,1350,1500,390,1000,21690,8.2,2320,6610,190,100,20,70,160,830,280,40,40,10,250
27,21600,48,0,Salaried,Tier_2,4940,1050,410,2050,690,940,800,780,390,180,540,12770,24.8,5360,8830,150,30,10,60,70,330,240,20,10,10,140
28,87800,42,1,Salaried,Tier_1,20510,0,2210,7300,4360,6430,2210,4750,4890,2660,2040,57360,8.5,7460,30440,620,0,70,220,440,2250,660,140,150,80,510
29,63600,25,3,Self-Employed,Tier_3,18500,0,690,5690,2390,5100,2070,2260,3550,880,1700,42830,24.4,15520,20770,560,0,20,170,240,1780,620,70,110,30,420
30,8100,19,3,Business Owner,Tier_1,1160,560,300,1370,440,680,110,480,420,10,410,5940,31.0,2510,2160,30,20,10,40,40,240,30,10,10,0,100
31,60400,51,1,Self-Employed,Tier_1,12600,11290,2590,4460,5290,4670,2610,3150,2070,5320,3540,57590,15.3,9240,2810,380,340,80,130,530,1630,780,90,60,160,880
32,51300,42,0,Freelancer,Tier_2,8630,0,2220,3430,4250,1900,1470,2280,1490,30,2770,28470,12.9,6620,22830,260,0,70,100,420,660,440,70,40,0,690
33,45200,22,3,Salaried,Tier_3,13140,850,1750,5550,3410,3090,1620,2220,2780,80,1300,35790,26.7,12070,9410,390,30,50,170,340,1080,490,70,80,0,320
34,74600,26,0,Salaried,Tier_2,18970,5430,2840,6090,3360,2120,1320,1850,2740,1020,2040,47780,13.8,10290,26820,570,160,90,180,340,740,400,60,80,30,510
35,67700,46,1,Self-Employed,Tier_2,10310,210,2120,5990,5990,4770,2570,1830,3910,3990,3720,45410,23.5,15910,22290,310,10,60,180,600,1670,770,50,120,120,930
36,85400,38,1,Self-Employed,Tier_2,22890,0,1110,10180,2840,3120,2780,2970,5510,1210,4320,56930,24.4,20840,28470,690,0,30,310,280,1090,830,90,170,40,1080
37,8100,23,1,Freelancer,Tier_1,1630,0,280,1040,700,280,150,410,160,30,190,4870,8.1,660,3230,50,0,10,30,70,100,40,10,0,0,50
38,90400,40,1,Salaried,Tier_2,18240,0,4240,12010,6100,5990,4280,3610,3630,1050,5090,64240,30.3,27390,26160,550,0,130,360,610,2100,1280,110,110,30,1270
39,59500,28,3,Salaried,Tier_1,16690,9160,2840,7380,3550,1530,690,2750,1930,270,1410,48200,34.0,20230,11300,500,270,90,220,360,540,210,80,60,10,350
40,12000,30,6,Freelancer,Tier_2,1530,0,350,1990,1020,390,400,810,610,130,410,7640,17.0,2040,4360,50,0,10,60,100,140,120,20,20,0,100
41,41200,26,3,Business Owner,Tier_3,9020,0,930,4390,3630,2390,1260,3040,2190,400,1510,28760,13.1,5400,12440,270,0,30,130,360,840,380,90,70,10,380
42,29700,57,0,Salaried,Tier_2,6500,6060,820,3440,1110,2620,1020,880,530,290,1250,24520,10.5,3120,5180,200,180,20,100,110,920,310,30,20,10,310
43,13200,63,2,Retired,Tier_3,2230,0,650,1220,830,620,620,620,830,1370,410,9400,29.3,3870,3800,70,0,20,40,80,220,190,20,20,40,100
44,46900,19,1,Salaried,Tier_3,14060,0,750,5220,2380,2750,1490,1940,1320,160,2250,32320,23.4,10970,14580,420,0,20,160,240,960,450,60,40,0,560
45,61700,42,3,Salaried,Tier_3,11690,0,2640,10590,3680,1390,1860,3340,4090,970,2320,42570,22.2,13700,19130,350,0,80,320,370,490,560,100,120,30,580
46,88400,21,2,Salaried,Tier_2,16000,0,3180,13140,7170,7090,2230,3350,4710,1210,4850,62930,9.0,7960,25470,480,0,100,390,720,2480,670,100,140,40,1210
47,15300,43,5,Salaried,Tier_2,2110,0,690,2050,1100,1270,180,1110,530,690,400,10130,22.3,3410,5170,60,0,20,60,110,440,50,30,20,20,100
48,86300,35,2,Self-Employed,Tier_3,12580,8760,1740,8050,2640,7900,3970,4720,1790,690,2920,55760,23.9,20630,30540,380,260,50,240,260,2760,1190,140,50,20,730
49,230200,23,1,Business Owner,Tier_2,43560,24470,4490,26290,14850,24720,5020,14700,10670,1140,9820,179730,26.5,61000,50470,1310,730,130,790,1480,8650,1510,440,320,30,2460
50,192200,24,0,Business Owner,Tier_1,50680,0,6820,21080,13580,16250,6990,10290,7960,3130,8810,145590,16.3,31330,46610,1520,0,200,630,1360,5690,2100,310,240,90,2200
51,54200,29,1,Salaried,Tier_2,8220,1580,1710,8060,3350,4550,2340,1770,3000,470,2830,37880,28.2,15280,16320,250,50,50,240,340,1590,700,50,90,10,710
52,175600,39,1,Salaried,Tier_1,59390,0,4330,23370,5410,10110,4950,8900,8270,1850,9290,135870,33.4,58650,39730,1780,0,130,700,540,3540,1480,270,250,60,2320
53,105800,29,4,Salaried,Tier_1,19450,0,4540,18540,5090,5140,1650,8080,3520,940,2530,69480,32.0,33860,36320,580,0,140,560,510,1800,500,240,110,30,630
54,99500,26,0,Salaried,Tier_2,14710,0,1390,9870,5420,8620,1130,3460,3200,1700,5390,54890,10.7,10650,44610,440,0,40,300,540,3020,340,100,100,50,1350
55,85800,30,2,Business Owner,Tier_2,12180,16010,2420,11250,5880,6360,930,5120,2210,1300,3650,67310,9.9,8490,18490,370,480,70,340,590,2230,280,150,70,40,910
56,54000,38,4,Freelancer,Tier_1,17050,0,820,5710,2190,3580,600,1470,3530,1540,1780,38270,12.7,6860,15730,510,0,20,170,220,1250,180,40,110,50,440
57,59400,38,0,Salaried,Tier_2,15450,6710,850,5960,5150,1370,2450,3250,2140,490,3480,47300,9.6,5700,12100,460,200,30,180,520,480,740,100,60,10,870
58,117200,29,0,Self-Employed,Tier_1,30930,1690,2460,12970,7370,6010,5830,4830,3830,1280,2810,80010,26.9,31530,37190,930,50,70,390,740,2100,1750,140,110,40,700
59,6000,31,1,Freelancer,Tier_2,970,450,170,600,210,300,220,230,110,660,140,4060,30.5,1830,1940,30,10,10,20,20,100,70,10,0,20,40
60,38000,32,0,Salaried,Tier_1,7840,0,920,4300,2850,3070,1480,2230,1520,240,1640,26090,13.7,5210,11910,240,0,30,130,280,1070,440,70,50,10,410
